OTU;E10A;E10B;E10C;E10D;E11A;E11B;E11C;E11D;E12A;E12B;E12C;E12D;E13A;E13B;E13C;E13D;E14A;E14B;E14C;E14D;E15A;E15B;E15C;E15D;E16A;E16B;E16C;E16D;W09A;W09B;W09C;W09D;W10A;W10B;W10C;W10D;W11A;W11B;W11C;W11D;W12A;W12B;W12C;W12D;W13A;W13B;W13C;W13D;W14A;W14B;W14C;W14D;W15A;W15B;W15C;W15D
OTU0001;0;0;0;0;0;2.666666667;0;0.333333333;0;0;0;0;0;0.333333333;0;0;0;0;0;0;0;3.333333333;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU0002;2;6;4.333333333;2.666666667;13;0;1;5.666666667;6.666666667;1;1;4.666666667;19.66666667;0.666666667;22.66666667;1;6.333333333;0;2;2.333333333;2;3.333333333;0.666666667;0.666666667;4.333333333;0;0;0.666666667;6.666666667;3;0;0.666666667;4.333333333;0;0.333333333;1.333333333;8;1.666666667;1;4;6.666666667;1.333333333;0.666666667;4;7.666666667;1;1.666666667;0.666666667;17;0;3.333333333;1.333333334;1;3.666666667;3;0.333333333
OTU0003;8.333333333;17.33333333;19.33333334;15.66666667;10.33333333;0;10.33333333;14.66666666;31;4.666666666;10.66666667;10.66666667;12.66666667;7;14;15.33333333;19.33333334;10.33333333;29.66666666;17;32.66666667;17.66666667;24.66666667;17.66666667;32.33333334;19;22.66666667;35.66666667;2;22;11;8;6.666666667;9.666666667;5;5.666666667;6;8;6.999999999;5.666666667;15.66666667;13;1.333333333;9.333333333;10.66666666;7.666666666;9;7.666666666;17.66666666;8;9;23;7.333333333;20.66666667;9.333333333;13
OTU0004;0.666666667;0.333333333;0.666666667;0;0.333333333;0;0;0;0;0;0;0;1.333333333;0;0;0;0;0.333333333;5.666666667;2.666666667;3.666666666;1.666666667;6.333333333;1;0;5.333333333;7.666666667;0;0;0;0.666666667;0;0;9;0;0;0.666666667;0;0.666666667;0;1.333333333;1.666666666;0;0;0;0;0;0;0;2.333333333;4.666666667;13;0.333333333;9;0;0
OTU0005;0;0;0;0;0;6;0;0;0;17.33333333;0;0;0;2.666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;0;44;0;0;0;11.66666667;0;0;0;4.666666667;0;0;0;0;0;0.333333333;0;0.666666667;0;0;0;0;0;0
OTU0006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.666666667;0;0;1;0;0.666666667;0;2.666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.666666667;2;2;0;0.666666667;0;0
OTU0007;0.666666667;1;0;0.666666667;0;70;0.666666667;0.666666667;0;98.66666667;1;0;0;17.66666667;0.666666667;0;0;3.333333333;3;1.666666667;0;0;0;0;0;8;0;0;0;3;0;0;0;114.3333333;0;3.333333333;1.666666667;11.33333333;0.333333333;3.333333333;1.666666667;83.33333333;8.333333333;15.66666667;0;14;0;10.33333333;0;110.6666667;3.666666667;17.33333333;0;6;0.333333333;4.666666667
OTU0008;3;10.33333333;19;15.33333333;0;0;0;0.666666667;2.333333333;0;2.333333333;1.333333333;0;0;0;4.666666667;0.666666667;0;0;0;0;0;0;0;0;0;0;8.333333333;0.333333333;0;12;0;0;0;0;0;0;0;0;0;4.333333333;0;0;0;14.33333333;0;0;0;0;0;0;0;0.333333333;0;1.333333333;0
OTU0009;0;2.666666667;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
OTU0010;23.33333333;137.3333333;78;128;33.33333333;4;21.33333333;56.33333333;81.33333333;102.6666667;29.33333333;38.33333333;28.66666667;9.333333333;10.66666667;19;17.66666667;18.66666667;14;18;18;29.66666667;7;32.33333333;38.66666667;4.333333333;20.66666667;13.33333333;21;149.5;6;6;49;6.333333333;17.33333333;17;19;14;11.33333333;23;13.33333333;4.666666667;9.666666667;16.66666667;0;7;4;7.666666667;7;0;6;12;6.666666667;13;23.33333333;9.333333333
OTU0011;18.33333333;0;0;4.333333333;2.333333333;0;13.33333333;0;2.666666667;25.33333334;2.666666667;2.666666667;0;0;2.333333333;0.333333333;2.333333333;0;3.666666667;0;0.666666667;0;0;0.666666667;3.666666666;0;0;3.333333333;9.333333333;1.5;0;0;0;0;0;0.666666667;1.666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
OTU0012;120;221;125;184.3333333;78;8.666666667;168.6666667;300.3333333;393.3333333;37.33333333;158.6666667;169;155.3333333;18.33333333;81.66666667;115;99;41.66666667;46;67;105;37.66666667;43;87.66666667;166.6666666;54.33333333;81.66666667;99.66666667;211.6666667;133;95.33333334;101;276;36;53;36.66666667;170.3333334;68.33333333;214.6666667;77;95.66666667;32;21.33333333;106.3333333;37.66666667;0;8;19.66666667;182;25.33333333;32;106.6666667;26.66666667;34;89.33333333;34
OTU0013;0;4;1;0;0;6.333333333;0;2.666666667;0;7.666666667;3;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1.666666667;0;0;0;0;0;2.666666667;0;0;5;0;0;0;0;0;0;0;1.666666667;0;0;0;0;0;0;0
OTU0014;0;0;0;0.666666667;1.333333333;0;46.33333333;0;15.33333333;0;4.666666667;0;0;0;0;0;0;0;0;0;1.333333333;0;0;4;1.666666667;0;3;4;2.666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU0015;23.33333333;77.33333333;30.66666667;189.3333333;25;4.666666667;43;42.33333333;87.33333333;15.33333333;29.66666667;34;45;0;4.666666667;21.66666667;16.33333333;2;6.333333333;1;21.66666667;5.666666667;2.333333333;5;11.33333333;0;6.333333333;25.66666667;12;161.5;42.66666667;11.33333333;58;0;12;4;25.33333333;5.666666667;51;2;46.66666667;0;2.333333333;0;2.666666667;0;2.666666667;3.666666667;19.66666667;1.666666667;4.333333333;4.666666667;7.333333333;2.333333333;17.33333333;2
OTU0016;1;4.666666667;2.333333333;0;0;0;8.333333333;0;8;32.33333333;2.333333333;0;0;0;0;0;0.333333333;0;0;1.666666667;0;0;0;4.333333333;0;3;0;0;0;2;0;0;0;0;0;0;0;0;8.333333333;0;0.666666667;0;0;0;0;0;0;0;6;0;0;7.333333333;0;0;0;0
OTU0017;129.6666667;734.6666667;458.9999999;589.6666667;137.3333333;34;370.6666667;355.3333334;591.6666667;361.6666666;285;253;192.6666667;11;98.66666667;231.6666666;77.33333334;51;146;86.99999999;272.3333333;113.3333333;65.66666667;307.3333334;158;97.66666666;231;220;102;452.5;185.3333333;172.6666667;287.3333334;45.33333334;60;148.3333333;180.6666667;88.33333333;244.6666667;246.3333333;178.6666667;74.66666666;30.66666666;274.3333334;52.33333333;30.66666667;55.66666666;83;160.3333333;48.33333333;172.3333333;248.6666667;77.66666666;52;199.3333333;99.33333334
OTU0018;0;0;0;0;0;0;0;0;0;28.33333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.666666667;0;0;0;0;0;0;3;0;0.333333333;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU0019;25.66666667;374.3333333;245.6666666;454;27.66666667;44.33333333;171;129;53;317.6666667;132.3333333;93.66666668;48;63;96;81;14.66666667;88;55;48;12;11.66666667;45;36.33333333;76;82.66666666;73.33333333;24.66666666;23;359;336.3333334;303.6666666;173;112;138.6666667;115.3333333;37.66666667;276.6666667;133;346.6666667;26.33333334;254;77.66666667;242.3333333;55.66666667;32.66666667;62;89.33333334;25.66666667;69.33333333;29.66666667;114.3333334;13;18;149.6666666;84.33333333
OTU0020;1.333333333;2.333333333;5.333333333;3.333333333;2;0;8;0.333333333;9;0;5;4;0.666666667;0;0;0;0;0;0;0;0;2.333333333;0;1.666666667;0;0;0;3.666666667;8;2;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU0021;1.666666667;0;0;0;0;0;0;0;0;0;0;0.666666667;0;3.666666667;0;0;0;1.666666667;8;14.33333333;0;6.333333333;0;4.666666667;0;5.333333333;1;0;0;0;0;0;0;0;1.333333333;2;2.666666667;0;0;0;0;16.33333333;0;0.333333333;0;14.33333333;0.666666667;1.333333333;0;13;9;0;1;0;2;0
OTU0022;1.666666667;0;3.333333333;0;0;0;0;0;0;0;7;0;0;0;0;0;1.333333333;0;0;1;6.333333333;0;0;0;5;0;0;11;0;0;0;0;0;0;0;0;0;0;0.666666667;0;0;0;0;0;0;0;0;0;0;0;0;0.666666667;0;0;0;0
OTU0023;0;0;0.333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU0024;6;9.666666667;1.333333333;29;3;0;1.666666667;5.666666667;18;0;0;0;1.666666667;0;0;0.333333333;0.333333333;0;0;0;0;0;0;0;0;2.333333333;0;0;0.666666667;36.5;1;0;4.666666667;1.666666667;0;0;0;0;0;0.333333333;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU0025;49.33333333;135;84.66666666;85.33333333;20.66666666;18.66666667;35.33333333;29;71.33333334;33.66666667;43.33333333;32.33333334;59.33333333;1.333333333;3.333333333;14.66666667;30;9.333333333;17.33333333;19.33333333;94.33333333;13.33333333;4.333333333;20;49.33333333;16;24;14.33333333;25.33333333;102.5;34.66666666;51.33333333;43;9.666666667;5.333333334;14;31.66666667;25;18.33333333;13.66666667;18.33333333;25;7;11;13;10.66666667;5.333333333;10.33333333;86.33333333;31;39.33333334;24;18.66666667;18.66666666;20.66666667;16.66666667
OTU0026;0;1.333333333;6;0;2.333333333;0;28;7;0;50.33333333;19.66666667;34.33333333;0;9.666666667;46.66666667;3.333333333;0;48.66666667;78.33333333;17.33333333;0;0;23.33333333;22;0;17.33333333;11;7.333333333;0;32.5;21;89;0;15;14.33333333;19;0.666666667;68.33333333;27.33333333;7;0;30.66666667;7;18.66666667;0;12;2.666666667;16;1.666666667;14.66666667;17.66666667;17.66666667;0;8;1.666666667;34
OTU0027;0.666666667;0;13.66666667;0;0;56.33333334;7;0;7.333333333;0;3.666666667;0;0.666666667;0;8;2.666666667;0;2;0;0;0;0;0;0;1.666666667;0;0;0;0;0;0;1.666666667;17;34;18.66666667;0;0;10.66666667;2.333333333;3;0;21.66666667;1.666666667;15.33333333;0;0;25;6.333333333;0;6.666666667;0;3.666666667;0;0;0;0.333333333
OTU0028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU0029;12.66666667;10;67.66666667;5.666666667;37;439.6666667;98;92.33333333;27.66666667;229.6666666;60.33333333;41.33333333;37.33333333;96.66666667;131.3333333;95.66666666;28;76;39;13.33333333;24.33333333;57.33333333;36;24;29;43.33333333;32;47.66666666;47.33333333;4.5;169;254;37.66666666;315;151;68;15;282;96.33333333;101;31.66666667;90.66666666;72.66666667;35;27.66666666;19.66666667;88;54.33333334;14.66666667;27.33333333;13;7;29.33333333;40;35.66666667;43.33333333
OTU0030;0.666666667;0;0;0;1.333333333;0;0;0;0;0;0;0;0.333333333;0;0;0;0;0;6.666666667;0;2.666666667;0;0;0;0;0;0;2;0.666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU0031;0;0;1.666666667;0;0.666666667;20.66666667;0;0.666666667;0;7.666666667;2.666666667;0;1.333333333;38.33333333;2.666666667;0;0;13.33333333;13.66666667;5.666666667;0;6.333333333;4;1.333333333;1.333333333;3;4.333333334;2.666666667;0;0;0;1;0;28.33333333;5;0;0;1.666666666;0;4;1.333333333;56.33333333;38.66666667;0;0;16.33333333;3.333333333;14;0;49;2.666666667;2.666666667;3;0;0.333333333;1.333333333
OTU0032;110.3333333;80.66666667;376.3333333;174;162;49.66666667;226.6666667;200.3333333;71;42.66666667;116.3333333;138;100.6666667;87.66666667;244.3333333;187;72.66666667;136.3333333;136;68.33333333;173.6666667;122.6666667;75.66666667;75;76.33333333;62.33333333;152;101.6666667;189.3333333;260;535.3333333;332;275.6666667;48;584.6666667;218.6666667;67.33333333;272.3333333;325.6666667;347;82;48.66666667;132;112;133.6666667;56.33333333;249;125;118;18.66666667;78;40.33333333;129.6666667;76;196.6666667;102
OTU0033;6.666666667;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;4;0;6;16.66666667;10.33333333;3;5.666666667;12;0;27.33333333;1.666666667;7;0;1;0;0.666666667;0;1;0.666666667;0;0;0;0;0;0;0;0;0;0.333333333;1;0;0;0;0;0.333333333;2.333333333;0;16.66666667;0;0
OTU0034;509.3333333;478.6666666;1248;447.3333334;1297.333333;175.3333333;1273.666667;1125;594.6666667;731.3333334;926.3333334;1392.333333;893.6666668;759.6666667;970.3333334;1007.666667;745.6666667;543;836;603;779.6666666;590.3333334;578.6666666;658.6666667;655.3333334;766.3333334;1078.666667;790.3333333;873.3333334;513.5;1202;1191;615.9999999;725.6666667;972.3333334;822.6666666;464.3333334;1039;905;810;633.6666667;659.9999999;690.6666667;825;1065.666667;611;905.6666666;964.9999999;653.9999999;357;573;462.6666667;634.6666666;1167;765.3333334;940.6666667
OTU0035;44.33333333;2;1;5.666666667;55;7;0;2.666666666;0.666666667;3;4;78.66666666;0;20.33333333;10.66666667;5.666666667;39;2.666666667;40;95.66666667;52;34.33333333;16.33333334;30.66666667;51;98.33333333;18;20.66666667;7.666666667;1.5;1;5.333333333;0.333333333;6.333333333;11.33333333;21;82.66666666;0;2.333333333;9;8.666666666;20.66666666;36;11;32.66666667;52.33333334;31.66666667;44.66666667;23.66666667;59;44.66666666;28.33333334;17;36;23;35.66666666
OTU0036;40.33333333;2.666666667;38.66666667;20;32;117.6666667;14;47;35.66666667;1.333333333;52.33333333;34.33333333;14.33333333;53;63.66666666;79.66666667;56.66666667;34;34.33333333;36.33333333;23.66666667;37.66666667;11.33333333;36.33333333;40.33333333;10.66666667;31;33.66666666;29;0;82.66666667;22.33333333;39.66666667;31;83.66666666;50.66666666;82.66666666;2.666666667;28.33333333;80.33333333;31.66666666;45.00000001;57.33333333;7.333333333;88;18.33333333;67.66666667;39;21;16.33333333;49.66666667;15.33333334;20;11.33333333;32.66666667;1
OTU0037;336.6666667;273.6666667;416.6666667;485.3333333;278.3333333;53;314.6666667;479.3333333;554.6666667;99;598.6666666;337;336.3333333;136.6666667;216.3333333;246.3333333;312;119.6666667;191.3333333;176;219;150.6666667;114;275.3333333;375;78.33333333;237;344.6666667;155.3333333;158;273.3333333;160;418.6666667;66.66666667;164.3333334;183.3333333;270;64.33333333;375;251.3333333;304;123.3333333;141;130.3333333;206.6666667;80;147;174.6666667;352;82.33333333;152.6666667;112;169.6666667;152;314;126.3333333
OTU0038;817.3333333;336.3333333;564.3333333;298.3333333;459.6666667;57.66666667;665.3333333;544.3333333;419;139.3333333;384;595.3333333;399.6666667;251;567.6666667;522;418.6666667;271.6666667;425.3333333;351.3333333;423.6666667;418;293.6666667;380.6666667;242.3333333;684.6666667;521.6666667;349;681.6666667;599;349.6666667;350;689.3333333;98.33333333;520.3333333;427;540.6666667;147;374.6666667;412.3333333;372;111.6666667;274;321.3333333;599.6666667;688.6666667;616;529.3333333;334;312;546.6666667;201.6666667;421.6666667;826.6666667;320.6666667;407.3333333
OTU0039;17.33333333;9.666666667;5.333333333;0.666666667;7;200;23.66666667;14.66666667;0;88.33333333;18.33333333;27.33333334;21.66666667;128.6666667;35.66666667;30;18.33333333;26;52;59.66666667;47.66666667;48.33333333;50.33333334;57.66666667;33;31.33333333;71;47.66666666;6;1;13.33333333;16;0;126.6666667;19.66666667;33.33333333;24.33333334;1.666666667;4.666666667;26.66666666;5.333333333;79;49;6.666666667;22.66666666;11.66666667;10.66666667;24;5.666666667;132;89.33333334;70;26.33333333;21.33333333;40.33333333;50
OTU0040;823.3333333;934.3333334;871.6666667;618.6666666;764.3333333;494.3333334;1229;737.3333333;1001.666667;616.3333333;1259.666667;833.0000001;657.6666667;500;856.0000001;616.6666667;983.6666667;699;892.6666666;858.6666667;1782.666667;982.3333333;1658.666667;1223;1124.666667;1327;1723;1326;661.9999999;1500.5;780.3333334;589.3333333;544.3333334;798.9999999;1013.333333;703.9999999;1251.666667;378.6666667;832;702.3333333;677.9999999;786.3333333;444.3333333;689.6666666;859.3333334;659.9999999;574.6666666;613.3333334;780.3333334;1083.333333;1278;992.6666666;744;699.6666667;673.6666666;791.6666667
OTU0041;0;0;0;0;0;24.33333333;0;0;0;0;0;0;0;3.333333333;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2.333333333;0;0;0;0;0;0;0;2.666666667;0;0;0;3;0;1.666666667;0;2.666666667;0;0;0;0;0;0
OTU0042;0;0;0;0;0;3.333333333;0;0;0;3.666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU0043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0.666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OTU0044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;0;0;0;0;0;0;0;0;0;0;0;0.666666667;0;0;0;0;0;0;0;0.666666667;0;0;0;0;0;0;0;2;0.333333333;0;0;0;0;0
OTU0045;13.33333333;0;1.666666667;0;21.33333333;10.66666666;5.333333333;5.333333333;0;2.333333333;6.333333333;11.33333333;8.666666667;2.666666667;30;12;17.33333334;6;6.666666666;5.333333334;32.66666666;19;42.33333334;6;3.333333333;6;20.66666666;16.33333333;22;0;46;0.666666667;2.333333333;10;0;16.66666667;9.333333334;0;10.33333333;0;17.33333333;6;4.666666667;6;45.33333334;16;8.333333333;8;26;11;25.66666666;11.33333333;50.33333334;22.33333333;5.666666667;6.666666667
